cve,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2014-8484,4,4,100.00%,,,
CVE-2014-8485,4,4,100.00%,,,
CVE-2014-8738,1,4,25.00%,,,2.26;2.25;2.25.1
CVE-2017-7299,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-7303,3,4,75.00%,,2.28,
CVE-2017-7304,3,4,75.00%,,2.28,
CVE-2017-6965,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-6966,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-7209,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-6969,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-7210,0,4,0.00%,2.29;2.29.1;2.28;2.30,,
CVE-2017-9038,4,4,100.00%,,,
CVE-2017-9039,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-9040,0,4,0.00%,2.28,,2.29;2.29.1;2.30
CVE-2017-9043,0,3,0.00%,,,2.29;2.29.1;2.30
CVE-2017-8392,4,4,100.00%,,,
CVE-2017-8394,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-8395,4,4,100.00%,,,
CVE-2017-8397,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-8398,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-8396,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-8421,4,4,100.00%,,,
CVE-2017-9954,1,4,25.00%,,,2.29;2.29.1;2.30
CVE-2017-9955,0,4,0.00%,,2.28,2.29;2.29.1;2.30
CVE-2017-13710,4,4,100.00%,,,
CVE-2017-12967,4,4,100.00%,,,
CVE-2017-13757,4,4,100.00%,,,
CVE-2017-14129,2,4,50.00%,,,2.31;2.30
CVE-2017-12799,4,4,100.00%,,,
CVE-2017-14128,2,4,50.00%,,,2.31;2.30
CVE-2017-14130,3,4,75.00%,,2.29,
CVE-2017-12448,6,6,100.00%,,,
CVE-2017-14529,4,4,100.00%,,,
CVE-2017-14745,0,2,0.00%,,,2.31;2.30
CVE-2017-14729,3,4,75.00%,,,2.29.1
CVE-2017-14974,1,4,25.00%,,,2.31;2.29.1;2.30
CVE-2017-14930,3,4,75.00%,,,2.29.1
CVE-2017-14938,3,4,75.00%,,,2.29.1
CVE-2017-14939,3,4,75.00%,,,2.29.1
CVE-2017-14940,3,4,75.00%,,,2.29.1
CVE-2017-15021,3,4,75.00%,,,2.29.1
CVE-2017-15024,1,4,25.00%,,,2.31;2.29.1;2.30
CVE-2017-15025,3,4,75.00%,,,2.29.1
CVE-2017-15020,4,4,100.00%,,,
CVE-2017-15022,4,4,100.00%,,,
CVE-2017-15023,4,4,100.00%,,,
CVE-2017-14932,4,4,100.00%,,,
CVE-2017-14933,4,4,100.00%,,,
CVE-2017-15938,1,4,25.00%,,,2.31.1;2.31;2.30
CVE-2017-15939,4,4,100.00%,,,
CVE-2017-14934,4,4,100.00%,,,
CVE-2017-15225,4,4,100.00%,,,
CVE-2017-16829,4,4,100.00%,,,
CVE-2017-15996,4,4,100.00%,,,
CVE-2017-16830,4,4,100.00%,,,
CVE-2017-16828,1,4,25.00%,,,2.31.1;2.31;2.30
CVE-2017-16831,4,4,100.00%,,,
CVE-2017-17080,1,4,25.00%,,,2.31.1;2.31;2.30
CVE-2017-17124,4,4,100.00%,,,
CVE-2017-17122,4,4,100.00%,,,
CVE-2017-17126,1,4,25.00%,,,2.31.1;2.31;2.30
CVE-2018-7208,4,4,100.00%,,,
CVE-2018-6543,3,4,75.00%,,,2.32
CVE-2018-6759,4,4,100.00%,,,
CVE-2018-6872,4,4,100.00%,,,
CVE-2018-7570,3,4,75.00%,,2.30,
CVE-2018-7568,4,4,100.00%,,,
CVE-2018-7569,1,4,25.00%,,,2.32;2.31.1;2.31
CVE-2018-7643,1,4,25.00%,,,2.32;2.31.1;2.31
CVE-2018-10372,4,4,100.00%,,,
CVE-2018-10373,4,4,100.00%,,,
CVE-2018-8945,4,4,100.00%,,,
CVE-2018-17360,4,4,100.00%,,,
CVE-2018-18605,4,4,100.00%,,,
CVE-2018-18606,4,4,100.00%,,,
CVE-2018-18607,4,4,100.00%,,,
CVE-2018-19932,6,6,100.00%,,,
CVE-2018-20002,4,4,100.00%,,,
CVE-2018-1000876,3,6,50.00%,,,2.33.1;2.32;2.34
CVE-2018-20651,4,4,100.00%,,,
CVE-2018-20671,6,6,100.00%,,,
CVE-2019-17451,2,4,50.00%,,2.32,2.33.1
CVE-2020-19724,5,6,83.33%,,2.31.1,
CVE-2020-16590,1,4,25.00%,,,2.35.1;2.36.1;2.35.2
CVE-2020-16591,3,4,75.00%,,2.35,
CVE-2020-16593,3,4,75.00%,,2.35,
CVE-2020-16599,3,4,75.00%,,2.35,
CVE-2020-35448,3,4,75.00%,,,2.35.2
CVE-2021-20294,5,5,100.00%,,,
CVE-2021-45078,3,6,50.00%,,,2.38;2.39;2.40
CVE-2022-38533,3,6,50.00%,,,2.41;2.42;2.40
CVE-2023-25586,3,4,75.00%,,2.40,
CVE-2022-48063,6,6,100.00%,,,
CVE-2022-48064,6,6,100.00%,,,
CVE-2022-48065,3,6,50.00%,,,2.41;2.42;2.40
CVE-2023-1579,1,4,25.00%,,,2.42;2.40;2.41
CVE-2018-17358,4,4,100.00%,,,
