cve,succeed,target,tp,tn,fp,fn,failed_versions,additional_error,false_positive,false_negative
CVE-2012-5134,4,6,3,1,2,0,,,2.8.0;2.8.0-rc2,
CVE-2013-0338,3,6,0,3,0,3,,,,2.9.1;2.9.2-rc1;2.9.2-rc2
CVE-2013-0339,4,6,3,1,2,0,,,2.9.0;2.9.0-rc2,
CVE-2013-1969,4,4,3,1,0,0,,,,
CVE-2014-3660,6,6,3,3,0,0,,,,
CVE-2015-5312,6,6,3,3,0,0,,,,
CVE-2015-7497,6,6,3,3,0,0,,,,
CVE-2015-7498,6,6,3,3,0,0,,,,
CVE-2015-7499,0,6,0,0,0,0,,2.9.0;2.9.1;2.9.2;2.9.4;2.9.5-rc1;2.9.5-rc2,,
CVE-2015-7500,6,6,3,3,0,0,,,,
CVE-2015-7941,1,4,0,1,0,3,,,,2.9.3;2.9.4;2.9.5-rc1
CVE-2015-8241,6,6,3,3,0,0,,,,
CVE-2015-8242,6,6,3,3,0,0,,,,
CVE-2015-8317,6,6,3,3,0,0,,,,
CVE-2015-8710,6,6,3,3,0,0,,,,
CVE-2016-1762,6,6,3,3,0,0,,,,
CVE-2016-1833,6,6,3,3,0,0,,,,
CVE-2016-1834,6,6,3,3,0,0,,,,
CVE-2016-1836,3,6,0,3,0,3,,,,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2016-1837,3,6,0,3,0,3,,,,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2016-1838,5,6,3,2,1,0,,,2.9.4,
CVE-2016-1840,6,6,3,3,0,0,,,,
CVE-2016-4449,6,6,3,3,0,0,,,,
CVE-2016-4483,3,6,0,3,0,3,,,,2.9.5;2.9.5-rc1;2.9.5-rc2
CVE-2016-4658,0,6,0,0,0,0,,2.9.2;2.9.3;2.9.4;2.9.5;2.9.5-rc1;2.9.5-rc2,,
CVE-2017-16931,6,6,3,3,0,0,,,,
CVE-2017-16932,6,6,3,3,0,0,,,,
CVE-2017-5130,6,6,3,3,0,0,,,,
CVE-2017-7375,6,6,3,3,0,0,,,,
CVE-2018-14404,3,6,3,0,3,0,,,2.9.7;2.9.7-rc1;2.9.8,
CVE-2019-19956,5,6,2,3,0,1,,,,2.9.11
CVE-2020-7595,4,4,3,1,0,0,,,,
CVE-2022-23308,0,6,0,0,0,3,,2.10.0;2.9.10;2.9.11;2.9.12;2.9.13;2.9.14,,2.10.0;2.9.13;2.9.14
CVE-2022-29824,0,6,0,0,0,3,,2.10.0;2.10.1;2.10.2;2.9.11;2.9.12;2.9.13,,2.10.0;2.10.1;2.10.2
CVE-2022-40303,3,6,0,3,0,3,,,,2.10.4;2.11.0;2.11.1
CVE-2022-40304,4,6,1,3,0,2,,,,2.11.0;2.11.1
CVE-2023-28484,6,6,3,3,0,0,,,,
