cve,succeed,target,accuracy,failed_versions,false_positive,false_negative
CVE-2020-20446,4,4,100.00%,,,
CVE-2020-20448,0,4,0.00%,4.2.2;4.1.3;3.4.7;4.0.5,,
CVE-2020-20453,0,4,0.00%,4.2.5;4.1.7;3.4.9;4.2,,
CVE-2020-20896,0,4,0.00%,4.2.1;4.1.9;4.3;4.2.6,,
CVE-2020-20898,1,2,50.00%,4.3,,
CVE-2020-21697,0,3,0.00%,4.4;4.3.3;4.2,,
CVE-2020-22015,0,4,0.00%,4.2.5;4.1.7;3.4.9;4.2,,
CVE-2020-22017,1,3,33.33%,4.1.8;4.3,,
CVE-2020-22019,4,4,100.00%,,,
CVE-2020-22021,3,4,75.00%,3.4.9,,
CVE-2020-22024,1,2,50.00%,4.3,,
CVE-2020-22029,1,3,33.33%,4.1.8;4.3,,
CVE-2020-22037,0,4,0.00%,4.2.5;4.1.7;3.4.9;4.2,,
CVE-2020-22038,1,2,50.00%,4.2,,
CVE-2020-22039,1,2,50.00%,4.3,,
CVE-2020-22041,0,4,0.00%,4.2.7;4.1.10;4.3;4.2,,
CVE-2020-22042,0,3,0.00%,4.3.3,4.2,4.4
CVE-2020-22043,1,2,50.00%,4.3,,
CVE-2020-22044,0,4,0.00%,4.2.7;4.1.10;4.3;4.2,,
CVE-2020-22046,2,4,50.00%,4.1.10;4.3,,
CVE-2020-24020,0,2,0.00%,4.2.3;4.4,,
CVE-2021-38291,5,6,83.33%,3.2.16,,
CVE-2022-1475,4,6,66.67%,,4.3.4;4.2.6,
CVE-2020-22020,0,4,0.00%,4.2.7;4.1.8;4.3;4.2,,
CVE-2020-22022,0,4,0.00%,4.2.7;4.1.8;4.3;4.2,,
CVE-2020-22023,0,4,0.00%,4.2.7;4.1.8;4.3;4.2,,
CVE-2020-22026,0,4,0.00%,4.2.7;4.1.8;4.3;4.2,,
CVE-2020-22027,0,4,0.00%,4.1.8;4.3;4.2.6;4.2,,
CVE-2020-22030,0,3,0.00%,4.1.8;4.3;4.2,,
CVE-2020-22031,0,4,0.00%,4.2.7;4.1.8;4.3;4.2,,
CVE-2020-22034,0,3,0.00%,4.1.8;4.3;4.2,,
CVE-2020-22035,0,3,0.00%,4.1.8;4.3;4.2,,
CVE-2020-22036,0,4,0.00%,4.2.7;4.1.8;4.3;4.2,,
CVE-2020-22048,0,4,0.00%,4.2.7;4.1.10;3.4.11;4.2,,
CVE-2020-23906,0,4,0.00%,4.3.1;4.2.5;4.4;4.2,,
CVE-2020-35965,0,5,0.00%,4.3.1;4.3.2;4.2.5;4.4;4.3.3,,
