CVE,succeed,failed,false_positive,false_negative,func_not_found,targets
CVE-2017-12448,0,1,,,2.29;2.28;2.29.1;2.30;2.31,6
CVE-2017-12799,0,0,,,2.29;2.29.1;2.30;2.31,4
CVE-2017-12967,1,3,,2.29.1;2.30;2.31,,4
CVE-2017-13710,2,1,,,2.31,4
CVE-2017-13757,0,4,,,2.31,5
CVE-2017-14128,1,2,,,2.31,4
CVE-2017-14129,1,2,,2.29.1;2.30,2.31,4
CVE-2017-14130,3,0,,,2.31,4
CVE-2017-14529,0,3,,,2.31,4
CVE-2017-14729,2,3,,2.29.1;2.30;2.31,,5
CVE-2017-14745,0,1,,2.30,2.29;2.29.1;2.31,4
CVE-2017-14930,1,2,,,2.31,4
CVE-2017-14932,1,1,,2.30,2.31;2.31.1,4
CVE-2017-14933,2,0,,,2.31;2.31.1,4
CVE-2017-14934,1,1,,2.30,2.31;2.31.1,4
CVE-2017-14938,2,1,,,2.31,3
CVE-2017-14939,1,2,,,2.31,3
CVE-2017-14940,1,2,,,2.31,4
CVE-2017-14974,0,4,,,2.31,5
CVE-2017-15020,1,2,,,2.31;2.31.1,5
CVE-2017-15021,0,3,,,2.31,4
CVE-2017-15022,0,3,,,2.31;2.31.1,5
CVE-2017-15023,2,0,,,2.31;2.31.1,4
CVE-2017-15024,4,1,,,2.31,5
CVE-2017-15025,1,3,,2.29.1;2.30;2.31,,4
CVE-2017-15225,2,0,,,2.31;2.31.1,4
CVE-2017-15938,3,0,,,2.31;2.31.1,5
CVE-2017-15939,0,4,,,2.31;2.31.1,6
CVE-2017-16828,6,0,,,,6
CVE-2017-16829,0,4,,,,4
CVE-2017-16830,0,4,,,,4
CVE-2017-16831,3,2,,,,5
CVE-2017-17080,0,0,,,2.29.1;2.30;2.31;2.31.1;2.29.1;2.29.1,6
CVE-2017-17122,0,4,,,,4
CVE-2017-17124,0,4,,,,4
CVE-2017-17126,1,3,,2.30;2.31;2.31.1,,4
CVE-2017-8394,1,3,,2.29;2.29.1;2.30,,4
CVE-2017-8395,0,0,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-8397,0,0,,,2.28;2.29;2.29.1;2.30,4
CVE-2017-8398,0,0,,,2.28;2.29;2.29.1;2.30;2.28,5
CVE-2017-8421,2,0,,,2.28;2.29,4
CVE-2017-9954,0,0,,,2.28;2.29;2.29.1;2.30;2.28,5
CVE-2017-9955,0,0,,,2.28;2.29;2.29.1;2.30;2.28,5
CVE-2018-1000876,6,0,,,,6
CVE-2018-10372,0,0,,,2.30;2.31;2.31.1;2.32,4
CVE-2018-10373,0,1,,,2.31;2.31.1;2.32,4
CVE-2018-17358,0,0,,,2.31.1;2.41;2.42;2.43,4
CVE-2018-17360,0,0,,,2.31.1;2.32;2.33.1;2.34,4
CVE-2018-18605,1,2,,2.32;2.33.1,2.34,4
CVE-2018-18606,3,0,,,2.34,4
CVE-2018-18607,0,3,,,2.34,4
CVE-2018-19932,2,3,2.31;2.30;2.29.1,,2.34,6
CVE-2018-20651,0,4,,,,4
CVE-2018-20671,6,0,,,,6
CVE-2018-6543,0,4,,,,4
CVE-2018-6759,0,2,,,2.31;2.31.1;2.32,5
CVE-2018-6872,1,3,,2.31;2.31.1;2.32,,4
CVE-2018-7208,0,0,,,2.30;2.31;2.31.1;2.32,4
CVE-2018-7568,0,1,,,2.31;2.31.1;2.32,4
CVE-2018-7569,0,0,,,2.30;2.31;2.31.1;2.32;2.30,5
CVE-2018-7570,0,4,,,,4
CVE-2018-7643,0,0,,,2.30;2.31;2.31.1;2.32;2.30;2.30,6
CVE-2018-8945,2,0,,,2.31;2.31.1;2.32,5
CVE-2019-17451,2,2,,,,4
CVE-2020-16590,1,3,,2.35.1;2.35.2;2.36.1,,4
CVE-2020-16591,0,4,,,,4
CVE-2020-16593,3,1,2.35,,,4
CVE-2020-16599,3,1,2.35,,,4
CVE-2020-35448,0,4,,,,4
CVE-2021-20294,0,1,,,2.35.1;2.35;2.35.2;2.36.1,5
CVE-2021-45078,3,3,,2.38;2.39;2.40,,6
CVE-2022-38533,6,0,,,,6
CVE-2022-48063,0,6,,,,6
CVE-2022-48064,3,3,,,,6
CVE-2022-48065,6,0,,,,6
CVE-2023-1579,0,4,,,,4
CVE-2023-25586,1,3,,2.41;2.42;2.43,,4
